Nama,Deskripsi,Bahan,"Tags (makanan, minuman, camilan)","Tags (manis, gurih, asin, pedas, pahit)",Kalori (100g),Gula(g),Lemak(g),Karbohidrat(g),Serat(g),Protein(g),Sodium(mg),Vitamin C(mg),Vitamin A(IU),Asal
lappet,"Lappet ini diolah dari beras yang disajikan dengan tambahan gula merah dan parutan kelapa di dalam daun pisang berbentuk kerucut. Di wilayah Dairi sendiri, Lappet biasanya menjadi salahsatu menu yang disajikan pada acara-acara hajatan, atau saat acara musyawarah keluarga. ","tepung beras, kelapa parut, gula merah, daun pandan, daun pisang",camilan,"manis, gurih",150,12,4,30,2,2,60,0,50,"Sidikalang, Sumatera Utara"
kue adee meureudu,"Kue tradisional ini dibuat dari singkong yang menghasilkan tekstur yang legit serta gurih saat masuk ke dalam mulut. Sejatinya, makanan khas ini biasa dihidangkan untuk tamu yang sedang berkunjung ke kediaman warga. ","singkong, bawang merah, telur ayam. Gula pasir, santan kental",camilan,"manis, gurih",180,10,7,35,1.5,3,80,0,60,"Meureudu, Aceh"
kelicuk,"Kudapan ini merupakan makanan pembuka sebelum makan berat atau biasa dimakan saat sarapan. Karena itu, kelicuk mudah ditemukan di pasar tradisional ataupun tempat sarapan pagi di Pagar Alam.","pisang, beras ketan putih, kelapa parut, gula merah, daun pandan, daun pisang",camilan,"manis, gurih",120,8,3,22,1,2,50,1,30,"Palembang, Sumatera Selatan"
gonjeng,"Makanan ini bisa ditemui di pasar-pasar yang antara lain ada di kecamatan Muara Pinang, Pendopo, Lintang Kanan dan Tebing Tinggi, Kabupaten Empat Lawang. Gonjeng dibuat menggunakan tepung beras dan kelapa parut sebagai bahan utamanya.","tepung beras, kelapa parut, air kelapa, garam, gula pasir",camilan,"asin, manis, gurih",130,7,4,25,1.2,2.5,70,1,45,"Palembang, Sumatera Selatan"
buah hongas,"Dari namanya seperti buah-buahan, namun sebenarnya Buah Hongas adalah kudapan sejenis gorengan yang cukup legendaris bagi masyarakat di Ogan Komering Ilir. Kudapan ini ini terbuat dari pisang buai atau pisang kepok yang dihaluskan dengan campuran tepung terigu.","pisang buai, tepung terigu, garam, vanili, gula halus, telur",camilan,"asin, manis",110,6,1.5,25,2.5,1,40,3,60,"Palembang, Sumatera Selatan"
kue putu kuning,"Kue putu kuning adalah salah satu kudapan tradisional masyarakat Kuala Jambi, Tanjung Jabung Timur tepatnya, di desa Teluk Mejelis. Awalnya kudapan ini merupakan kudapan bagi kalangan dan keturunan raja Melayu yang bermukim di kawasan hilir Sungai Batanghari.","tepung beras, gula jawa, garam, kunyit, bawang putih, serai, daun pandan, kelapa parut",camilan,"asin, manis, gurih",160,10,5,30,1.8,3,65,0,25,"Jambi, Jambi"
kue mayang papan,"Kue Mayang Papan adalah kudapan yang sering mereka nikmati untuk berbagai acara, baik acara formal ataupun non formal. Selain itu, kudapan ini juga menjadi oleh-oleh favorit para wisatawan yang berkunjung ke Aceh.","tepung beras, kapur sirih, gula pasir, gula palem, daging buah durian",camilan,manis,140,8,4,28,2,2,60,0,40,"Meulaboh, Aceh"
barongko,"Barongko merupakan kudapan khas di Sulawesi Selatan khususnya bagi suku Bugis dan suku Makassar. Barongko artinya singkatan dari Barangku mua udoko (bahasa Bugis), yang artinya barangku sendiri yang kubungkus.","pisang kepok, gula pasir, telur, santan, daun pisang",camilan,"manis, gurih",200,15,7,35,1.5,3.5,90,0,50,"Makassar, Sulawesi Selatan"
gogos,Gogos merupakan sajian makanan berbahan dasar beras ketan yang kemudian dimasak dengan santan. Setelah itu makanan ini dibungkus dengan daun pisang dan dibakar. Gogos biasanya dimasak di atas panggangan pada malam atau subuh sebelum melaksanakan shalat ied.,"ketan putih, santan, garam, daun pisang, ikan cakalang, kemangi, daun salam, daun jeruk",camilan,"asin, gurih",170,12,6,32,1.8,2.8,75,1,55,"Makassar, Sulawesi Selatan"
patlau,"Patlau adalah makanan yang terbuat dari bahan beras ketan dengan proses perebusan yang cukup lama. Uniknya, makanan yang dibungkus dari daun pisang ini memiliki bentuk segitiga panjang. Bentuk patlau tesebut sendiri diperoleh dari hasil cetakan yang terbuat dari bahan kayu.","ketan putih, kelapa parut, garam, air, daun pisang, kacang merah",camilan,"asin, gurih",130,9,3.5,28,2.2,2,60,0,30,"Pontianak, Kalimantan Barat"
